Date,Sex,FW Size
2-Jun-18,?,
2-Jun-18,?,
2-Jun-18,F,
2-Jun-18,?,
2-Jun-18,F,
2-Jun-18,M,
2-Jun-18,?,
3-Jun-18,?,
3-Jun-18,?,
3-Jun-18,F,
3-Jun-18,?,
3-Jun-18,?,
3-Jun-18,?,
3-Jun-18,?,
4-Jun-18,F,
4-Jun-18,F,
4-Jun-18,?,
4-Jun-18,?,
4-Jun-18,?,
4-Jun-18,?,
4-Jun-18,M,
4-Jun-18,?,
4-Jun-18,M,
4-Jun-18,?,
4-Jun-18,?,
4-Jun-18,?,
4-Jun-18,?,
4-Jun-18,?,
4-Jun-18,M,
6-Jun-18,?,
6-Jun-18,?,
6-Jun-18,?,
6-Jun-18,M,
6-Jun-18,?,
6-Jun-18,?,
6-Jun-18,M,
6-Jun-18,?,
6-Jun-18,?,
6-Jun-18,?,
7-Jun-18,?,
8-Jun-18,M,
8-Jun-18,F,
8-Jun-18,?,
9-Jun-18,?,
9-Jun-18,?,
9-Jun-18,?,
9-Jun-18,?,
9-Jun-18,?,
9-Jun-18,?,
9-Jun-18,?,
9-Jun-18,?,
10-Jun-18,?,
10-Jun-18,?,
10-Jun-18,?,
10-Jun-18,?,
11-Jun-18,?,
14-Jun-18,?,
14-Jun-18,?,
15-Jun-18,?,
15-Jun-18,?,
16-Jun-18,?,
16-Jun-18,M,
17-Jun-18,M,
17-Jun-18,?,
17-Jun-18,?,
17-Jun-18,M,
18-Jun-18,?,
10-Jun-19,?,
10-Jun-19,M,
10-Jun-19,?,
10-Jun-19,?,
10-Jun-19,M,
10-Jun-19,?,
10-Jun-19,M,
10-Jun-19,?,
10-Jun-19,F,
10-Jun-19,?,
10-Jun-19,?,
10-Jun-19,M,
10-Jun-19,?,
10-Jun-19,?,
10-Jun-19,M,
10-Jun-19,M,
10-Jun-19,F,
10-Jun-19,?,
10-Jun-19,?,
10-Jun-19,?,
10-Jun-19,?,
10-Jun-19,?,
10-Jun-19,?,
10-Jun-19,?,
10-Jun-19,?,
10-Jun-19,?,
10-Jun-19,?,
10-Jun-19,?,
10-Jun-19,?,
10-Jun-19,?,
10-Jun-19,?,
11-Jun-19,?,
11-Jun-19,?,
11-Jun-19,M,
11-Jun-19,F,
11-Jun-19,M,
11-Jun-19,?,
11-Jun-19,?,
11-Jun-19,?,
11-Jun-19,?,
11-Jun-19,?,
11-Jun-19,?,
11-Jun-19,?,
11-Jun-19,?,
11-Jun-19,?,
11-Jun-19,?,
11-Jun-19,M,
11-Jun-19,F,
11-Jun-19,? ,
11-Jun-19,? ,
11-Jun-19,? ,
11-Jun-19,? ,
11-Jun-19,? ,
11-Jun-19,? ,
11-Jun-19,? ,
11-Jun-19,? ,
11-Jun-19,? ,
12-Jun-19,? ,
12-Jun-19,M,
12-Jun-19,? ,
12-Jun-19,? ,
12-Jun-19,M,
12-Jun-19,? ,
12-Jun-19,? ,
12-Jun-19,? ,
12-Jun-19,? ,
12-Jun-19,M,
12-Jun-19,F,
12-Jun-19,? ,
12-Jun-19,? ,
12-Jun-19,? ,
12-Jun-19,? ,
12-Jun-19,M,
12-Jun-19,F,
12-Jun-19,? ,
12-Jun-19,M,
12-Jun-19,F,
12-Jun-19,? ,
12-Jun-19,F,
12-Jun-19,? ,
12-Jun-19,? ,
12-Jun-19,? ,
12-Jun-19,? ,
12-Jun-19,M,
12-Jun-19,F,
12-Jun-19,? ,
12-Jun-19,F,
12-Jun-19,? ,
12-Jun-19,M,
12-Jun-19,? ,
12-Jun-19,? ,
12-Jun-19,? ,
3-May-21,M,
3-May-21,M,
3-May-21,? ,
3-May-21,M,
3-May-21,M,
3-May-21,?,
4-May-21,F,
4-May-21,F,
4-May-21,?,
4-May-21,?,
4-May-21,M,
4-May-21,?,
4-May-21,?,
4-May-21,F,
4-May-21,M,
4-May-21,?,
4-May-21,?,
5-May-21,M,
5-May-21,M,
5-May-21,?,
5-May-21,?,
5-May-21,?,
17-May-21,?,
17-May-21,?,
17-May-21,?,
17-May-21,?,
17-May-21,M,
17-May-21,?,
17-May-21,?,
17-May-21,?,
17-May-21,?,
17-May-21,?,
17-May-21,?,
17-May-21,?,
17-May-21,?,
17-May-21,?,
17-May-21,?,
17-May-21,?,
17-May-21,F,
17-May-21,F,
17-May-21,M,
17-May-21,?,
17-May-21,?,
17-May-21,?,
17-May-21,?,
17-May-21,?,
17-May-21,?,
17-May-21,?,
17-May-21,?,
17-May-21,?,
17-May-21,?,
17-May-21,M,
17-May-21,?,
17-May-21,?,
17-May-21,?,
18-May-21,?,
18-May-21,M,
18-May-21,M,
18-May-21,?,
18-May-21,M,
18-May-21,M,
18-May-21,?,
18-May-21,M,
18-May-21,?,
18-May-21,?,
18-May-21,M,
18-May-21,?,
18-May-21,?,
18-May-21,?,
18-May-21,?,
18-May-21,?,
18-May-21,?,
18-May-21,?,
18-May-21,?,
18-May-21,?,
18-May-21,?,
18-May-21,?,
18-May-21,?,
18-May-21,?,
18-May-21,?,
18-May-21,?,
18-May-21,?,
18-May-21,?,
18-May-21,?,
18-May-21,M,
18-May-21,?,
18-May-21,M,
18-May-21,M,
18-May-21,?,
18-May-21,?,
18-May-21,?,
18-May-21,?,
18-May-21,?,
18-May-21,?,
18-May-21,M,
18-May-21,M,
18-May-21,?,
18-May-21,?,
18-May-21,?,
18-May-21,?,
18-May-21,F,
18-May-21,?,
18-May-21,?,
18-May-21,?,
18-May-21,?,
18-May-21,?,
18-May-21,?,
18-May-21,M,
18-May-21,M,
18-May-21,?,
18-May-21,?,
18-May-21,?,
18-May-21,M,
18-May-21,?,
18-May-21,?,
18-May-21,M,
18-May-21,?,
18-May-21,?,
18-May-21,M,
18-May-21,?,
18-May-21,?,
18-May-21,?,
18-May-21,M,
18-May-21,M,
18-May-21,M,
18-May-21,?,
18-May-21,M,
18-May-21,M,
18-May-21,M,
19-May-21,?,
19-May-21,?,
19-May-21,?,
19-May-21,?,
19-May-21,?,
19-May-21,?,
19-May-21,M,
19-May-21,?,
19-May-21,?,
19-May-21,?,
19-May-21,?,
